deck,playrate
Plague Death Knight,0.11671533563019026
Spell Mage,0.09712574627954296
Highlander Warrior,0.06937780642218142
Handbuff Paladin,0.03756925712861074
Secret Hunter,0.037296074390577076
Highlander Priest,0.025331731368539365
Flood Paladin,0.07347289523309387
Mining Rogue,0.027034482026962847
Handbuff Death Knight,0.04599813811376599
Control Warrior,0.034349413983243024
Other Mage,0.037922007654421226
Other Priest,0.03597790137307476
Other Paladin,0.03437063205998343
Spell Token Hunter,0.04531650739847809
Highlander Shaman,0.03467829417272044
Other Warlock,0.03400462023621027
Other Death Knight,0.035638412145227075
Other Warrior,0.034325543646909956
Wishing Rogue,0.02976630940729951
Other Rogue,0.03322220365640502
Unholy Death Knight,0.02656768433867233
Other Druid,0.027644501733251656
Rainbow Death Knight,0.026294501600638665
