deck,playrate
Undead Priest,0.08010354801357038
Unholy Death Knight,0.07495213178011315
Pure Paladin,0.06827412939928836
Blood Death Knight,0.06801753300430531
Frost Death Knight,0.06467203570262751
Other Rogue,0.04391046409842908
Control Priest,0.04009399873001025
Burn Mage,0.0332860741238776
Thaddius Warlock,0.03167828658569265
Spooky Mage,0.02837501400723992
Totem Shaman,0.027059551475997683
Big Beast Hunter,0.0268354356373416
Rainbow Death Knight,0.024363665300859278
Face Hunter,0.023938170012975983
Silver Hand Paladin,0.02386671278905665
Riff 'n' Roll Warrior,0.02060404090601264
Enrage Warrior,0.020092472143862884
Thief Priest,0.018276809045185326
Big Demon Hunter,0.018198855710000603
Other Mage,0.017851313757302038
Curse Warlock,0.017749000004872086
Fatigue Imp Warlock,0.0173673534680302
Other Death Knight,0.017235807214905977
Other Priest,0.01637182441660861
Mech Paladin,0.01625489441383152
Zok Druid,0.015691356761558615
Curse Imp Warlock,0.015589043009128662
Miracle Rogue,0.014403502703194303
Mech Mage,0.014192379087069005
Dagger Rogue,0.01356225629432581
Other Warrior,0.013331644344404332
Other Warlock,0.013050687532176052
Other Druid,0.01301171086458369
Casino Mage,0.012904525028704693
Relic Demon Hunter,0.0125358707143936
Secret Rogue,0.011184679571191696
Lightshow Mage,0.011113222347272366
